bay_id,st_marker_id,status,location,lat,lon
0,9578,Present,"-37.80440338694197, 144.9494842784271",-37.80440338694197,144.9494842784271
1,9584,Unoccupied,"-37.80398867559876, 144.94955668232427",-37.80398867559876,144.94955668232427
2,9585,Present,"-37.803935732260236, 144.9495660151194",-37.80393573226024,144.9495660151194
3,9586,Present,"-37.803883691832866, 144.94957518890342",-37.80388369183287,144.94957518890342
4,9587,Present,"-37.803832609113684, 144.9495841876629",-37.80383260911368,144.9495841876629
5,9588,Unoccupied,"-37.8037793010183, 144.9495935863282",-37.8037793010183,144.9495935863282
6,9589,Unoccupied,"-37.80367265536506, 144.94961237846388",-37.80367265536506,144.94961237846388
7,9603,Unoccupied,"-37.80439102486007, 144.94929576524427",-37.80439102486007,144.94929576524427
8,9607,Present,"-37.803651217452476, 144.949426121253",-37.80365121745248,144.949426121253
9,9611,Present,"-37.80386652941909, 144.94938816664995",-37.80386652941909,144.94938816664995
10,9612,Unoccupied,"-37.80391962005699, 144.9493788083829",-37.80391962005699,144.9493788083829
11,9625,Present,"-37.80495099496139, 144.9485494257957",-37.80495099496139,144.9485494257957
12,9627,Unoccupied,"-37.80494466131013, 144.94849320946233",-37.80494466131013,144.94849320946233
13,9643,Unoccupied,"-37.80505245632691, 144.94852597974332",-37.80505245632691,144.94852597974332
14,10714,Present,"-37.80350116206802, 144.9511721702687",-37.80350116206802,144.9511721702687
15,10716,Unoccupied,"-37.80374254791472, 144.9511294980852",-37.80374254791472,144.9511294980852
16,10719,Present,"-37.804147156345856, 144.95105782046332",-37.804147156345856,144.95105782046332
17,10722,Unoccupied,"-37.80433377714455, 144.95102483171047",-37.80433377714455,144.95102483171047
18,10723,Unoccupied,"-37.804387505996274, 144.95101533251238",-37.804387505996274,144.95101533251238
19,10724,Present,"-37.80444109490541, 144.951005876137",-37.80444109490541,144.951005876137
20,10745,Present,"-37.80362221324624, 144.95091545415664",-37.80362221324624,144.95091545415664
21,10882,Unoccupied,"-37.805406717528456, 144.9503505708467",-37.805406717528456,144.9503505708467
22,10883,Present,"-37.80540984889329, 144.95037777170694",-37.80540984889329,144.95037777170694
23,10884,Present,"-37.80541295285835, 144.9504049720146",-37.80541295285835,144.9504049720146
24,10888,Unoccupied,"-37.80542553034525, 144.95051288202038",-37.80542553034525,144.95051288202038
