GISID,SegID,the_geom,StreetID,StatusID,SegPart,StrType,DTUpdate,PolyArea,SegDescr
2145,22837,"-37.79483593289566, 144.92314620936",2032,2,1,Council Major,20210923,1061,Newman Street between Sambell Street and Frearson Walk
1099,21388,"-37.80770098088755, 144.9526182243972",1038,2,1,Council Major,20210923,4386,Rosslyn Street between Howard Street and King Street
2246,21661,"-37.797854100393494, 144.93377499183384",1459,3,1,Council Minor,20210923,417,Cl0178 from Elizabeth Street
171,30234,"-37.79806655660804, 144.96664563444656",1700,4,1,Private,20210923,74,PL5081
1363,21951,"-37.81676308269973, 144.98899864941657",1169,1,2,Arterial,20210923,3275,Wellington Parade between Hoddle Street and Simpson Street
2643,20950,"-37.80362690914619, 144.95479633150612",1008,2,1,Council Major,20210923,3042,Queensberry Street between Capel Street and Howard Street
699,22496,"-37.80607512592824, 144.95773123949192",1152,1,1,Arterial,20210923,2666,Victoria Street between O'Connell Street and Cobden Street
1097,21386,"-37.80693403097905, 144.95420432153296",0,2,1,Council Major,20210923,922,Intersection of William Street and Rosslyn Street
1823,20558,"-37.802106309680894, 144.9697127311844",1024,2,1,Council Major,20210923,6178,Rathdowne Street between Pelham Street and Grattan Street
4072,23316,"-37.822723163672016, 144.94777949623986",120115,6,4,Lease/Reserve,20210923,123,Jim Stynes Bridge between Harbour Esplanade and North Wharf
3294,20432,"-37.8197649095998, 144.95678115855077",697,3,1,Council Minor,20210923,192,Hay Place from Flinders Lane
1789,20593,"-37.793187210098495, 144.97457881355",925,2,1,Council Major,20210923,297,Intersection of Neill Street and Station Street
637,23156,"-37.789045907416345, 144.93248861722117",119720,3,1,Council Minor,20210923,398,CL0122 from Nottingham Street
3817,23214,"-37.790472781046965, 144.92523599679063",119662,2,1,Council Major,20210923,139,Intersection of Drury Street and Siberia Lane
1383,21923,"-37.81524114084245, 144.9884821372812",14,3,1,Council Minor,20210923,245,Cl1065 from Simpson Street
2530,30638,"-37.82113466950516, 144.92126626678643",3081,9,1,Rail/Tram,20210923,11899,Webb Dock Railway
277,30358,"-37.7947549362769, 144.94737671931284",2929,4,1,Private,20210923,296,Leeming Place
1523,22600,"-37.79326028110329, 144.96489238501985",0,1,1,Arterial,20210923,6061,Intersection of College Crescent and Swanston Street
1202,21342,"-37.80557192891186, 144.94448040110416",899,2,1,Council Major,20210923,1864,Miller Street between Abbotsford Street and Lothian Street
477,23015,"-37.793120169880936, 144.93377782310114",119638,2,1,Council Major,20210923,262,Intersection of Robertson Street and Lambeth Street
1859,22373,"-37.792315546913024, 144.96318305689314",524,1,1,Arterial,20210923,9811,College Crescent between Swanston Street and Princes Park Drive
2555,30671,"-37.82731147516651, 144.9206728126078",117910,4,1,Private,20210923,3756,Gateway Court
3458,20176,"-37.812468289813665, 144.95953981034094",1010,2,1,Council Major,20210923,2981,Queen Street between Lonsdale Street and Little Lonsdale Street
4,30003,"-37.82312073260715, 144.95575000248263",3089,4,1,Private,20210923,942,Spencer Street Bridge
1660,20817,"-37.797401412017805, 144.96976777982735",598,2,1,Council Major,20210923,3081,Elgin Street between Rathdowne Street and Drummond Street
2806,21171,"-37.799117336840695, 144.94880673986188",552,1,1,Arterial,20210923,1567,Curzon Street between Harris Street and Haines Street
2762,21173,"-37.79975411961144, 144.9492015115413",1260,3,1,Council Minor,20210923,178,Isaacs Lane from Harris Street
1877,20873,"-37.80225365039301, 144.9614054037733",975,2,1,Council Major,20210923,3019,Pelham Street between Bouverie Street and Leicester Street
2825,20920,"-37.792205395632685, 144.945688372763",632,1,1,Arterial,20210923,3178,Intersection of Flemington Road and Dryburgh Street
879,22203,"-37.83514060511091, 144.9781018451318",466,2,1,Council Major,20210923,1323,Bromby Street between Domain Street and Adams Street
2770,21181,"-37.798058757064744, 144.95279115303507",632,1,1,Arterial,20210923,915,Intersection of Flemington Road and Harcourt Street
3804,22451,"-37.81272280732618, 144.94305715560765",0,1,1,Arterial,20210923,3724,Intersection of Harbour Esplanade and Docklands Drive
206,30276,"-37.8003249659876, 144.9713526579138",1502,4,1,Private,20210923,77,Pl5030
2910,21165,"-37.79874442342735, 144.9435584665165",685,2,1,Council Major,20210923,1900,Haines Street between Dryburgh Street and MacAulay Road
3197,20246,"-37.8148655574624, 144.97412557124218",1123,3,1,Council Minor,20210923,509,Throssell Lane between Spring Street and Flinders Lane
2378,21802,"-37.7911890243806, 144.9219134643563",1413,3,1,Council Minor,20210923,441,Gilbertson Walk between Colonial Place and Watkins Way
1984,20756,"-37.80122741013733, 144.96563695202607",1561,3,1,Council Minor,20210923,22,Cl1009 from Cardigan Street
2838,21012,"-37.80330797884886, 144.9460739198619",1245,3,1,Council Minor,20210923,469,Elm Place from Elm Street
2027,22426,"-37.78866916733951, 144.94128395340246",632,1,1,Arterial,20210923,9979,Flemington Road between Boundary Road and Racecourse Road
710,22671,"-37.80614554417154, 144.95837247296862",1152,1,1,Arterial,20210923,714,Intersection of Victoria Street and O'Connell Street
484,23079,"-37.79322878395016, 144.93481733831584",119638,2,1,Council Major,20210923,1012,Robertson Street between Thompson Street and Stubbs Street
3624,22181,"-37.824905905780135, 144.95928163807113",1359,1,1,Arterial,20210923,7689,Kings Way between City Road and Whiteman Street
2889,21063,"-37.8014384337884, 144.9470724225433",408,2,1,Council Major,20210923,4013,Baillie Street between Curzon Street and Abbotsford Street
1157,21505,"-37.81336680974986, 144.95072621576907",780,2,1,Council Major,20210923,3113,La Trobe Street between Adderley Street and Spencer Street
3379,20344,"-37.813641434861644, 144.95967769583996",420,3,1,Council Minor,20210923,332,Barry Lane between Lonsdale Street and Little Bourke Street
773,21992,"-37.81809338029351, 144.98010747405766",155,3,1,Council Minor,20210923,86,Cl1589 from Agnes Street
1529,22605,"-37.794118543587494, 144.9582406227804",1041,1,1,Arterial,20210923,4178,Royal Parade between Bayles Street and Degraves Street
4163,22799,"-37.81737321709392, 144.9734413607128",422,1,3,Arterial,20210923,22,Batman Avenue between Batman Avenue Bridge and Melbourne Park Tramway
1144,21485,"-37.81061052392754, 144.9498242713162",1278,3,1,Council Minor,20210923,205,Middleton Place between Spencer Street and Dudley Street
688,30787,"-37.788274076549534, 144.93918312914474",3129,9,1,Rail/Tram,20210923,777,Upfield Railway
4122,30882,"-37.8195747276379, 144.9754313818557",120160,4,3,Private,20210923,1329,Tanderrum Bridge
419,22957,"-37.81308105595878, 144.96354422318242",387,3,1,Council Minor,20210923,10,Angel Lane from Little Bourke Street
1063,22472,"-37.83807289330721, 144.97639146663886",1056,1,1,Arterial,20210923,6117,St Kilda Road between Toorak Road and Slater Street
2747,21138,"-37.79964968132886, 144.95397726710183",707,3,1,Council Minor,20210923,651,High Street between Flemington Road and Vale Street
543,23108,"-37.790850775586804, 144.94109776710303",119625,2,1,Council Major,20210923,6551,Alfred Street between Melrose Street and Boundary Road
3207,20236,"-37.812200122970275, 144.97227265198458",895,3,1,Council Minor,20210923,615,Meyers Place between Bourke Street and Little Collins Street
395,22941,"-37.8193010759569, 144.94950534058222",117946,3,1,Council Minor,20210923,3380,Village Street between Bourke Street and Collins Street
3889,23242,"-37.79290613794991, 144.9410933589885",119783,3,1,Council Minor,20210923,452,Smyth Mews between Buncle Street and Pearl Street
2233,21283,"-37.79697798718079, 144.93346253911076",1907,3,1,Council Minor,20210923,435,Cl0177 from Barrett Street
2432,30492,"-37.81150556426607, 144.95135254191632",739,4,1,Private,20210923,60,Jeffcott Place
38,30062,"-37.810894862254614, 144.92033272862068",980,5,1,Port Roads,20210923,2396,Phillipps Road
2014,22409,"-37.78875984850415, 144.9424609839397",22,3,1,Council Minor,20210923,215,Cl1478 from Southgate Street
3972,23300,"-37.81895987342284, 144.94313919026987",119527,16,1,Road Safety Act,20210923,6403,Victoria Harbour Promenade between Enterprize Way and Cumberland Street
2692,21078,"-37.802226201586606, 144.94901985604636",1005,3,1,Council Minor,20210923,1017,Purcell Street between Curzon Street and Errol Street
