Geo Point,rd_seg_id,marker_id,bay_id,meter_id,rd_seg_dsc,last_edit
"-37.78612229265811, 144.95251213498057",,,16513,,,20201208141609.0
"-37.838016872210765, 144.9833276045184",22217.0,,19576,,Toorak Road between Leopold Street and Marne Street,20201208141916.0
"-37.82339509391634, 144.96674793830047",22079.0,,19360,,Southbank Boulevard between Sturt Street and Moore Street,20201208141904.0
"-37.805403653998304, 144.9552302841984",20945.0,C5714,23295,,Capel Street between Victoria Street and Queensberry Street,20210329125741.0
"-37.83401048510322, 144.98194556237183",22227.0,20660N,22530,,Domain Road between Millswyn Street and Park Street,20201223122254.0
"-37.811014527784366, 144.98813661201575",21580.0,,14938,,Albert Street between Simpson Street and Powlett Street,20201208141414.0
"-37.7961525189623, 144.9701295080633",20684.0,,15968,,Palmerston Street between Rathdowne Street and Drummond Street,20201208141528.0
"-37.819441621967975, 144.94547768291378",22801.0,13229S,21993,,Bourke Street between Harbour Esplanade and Enterprize Way,20201208142200.0
"-37.81094793410983, 144.9875291558826",21580.0,,14947,,Albert Street between Simpson Street and Powlett Street,20201208141414.0
"-37.811021943661494, 144.98820410624987",21580.0,,14937,,Albert Street between Simpson Street and Powlett Street,20201208141414.0
"-37.807955769146595, 144.97230209784706",21596.0,,14332,,Victoria Parade between Nicholson Street and Spring Street,20201208141332.0
"-37.8110380662867, 144.98984026839332",21573.0,15556N,15564,,Albert Street between Hoddle Street and Simpson Street,20201223122254.0
"-37.81298783593034, 144.95173631621756",20030.0,4008N,14970,,La Trobe Street between King Street and Spencer Street,20201208141416.0
"-37.801282099206944, 144.951953388976",21097.0,,6587,,Arden Street between Chetwynd Street and Leveson Street,20201223122249.0
"-37.78465626530995, 144.95487701527026",,,16628,,,20201208141615.0
"-37.84970642710743, 144.98429209886336",22480.0,,6665,,Punt Road between High Street and Moubray Street,20201223122249.0
"-37.80974116800877, 144.9484398972933",21479.0,,11147,,Rosslyn Street between Adderley Street and Spencer Street,20201208141011.0
"-37.78167162820797, 144.95894022231727",22384.0,,12750,,Ievers Street between Royal Parade and The Avenue,20201208141152.0
