street_marker,RequestTime,tripDistance,aim_marker,lon,lat
A0,0,2100.0,A1000,-73.8759536743164,40.76993942260742
A1,0,1400.0,A1001,-73.99118041992188,40.74494934082031
A2,0,870.0,A1002,-73.91065216064453,40.75320053100586
A3,0,3600.0,A1003,-73.97720336914062,40.75192260742188
A4,0,2980.0,A1004,-73.96723937988281,40.75914001464844
A5,0,1120.0,A1005,-73.99900817871094,40.72235107421875
A6,0,3300.0,A1006,-73.9660873413086,40.71210861206056
A7,0,1500.0,A1007,-73.98561096191406,40.76784896850586
A8,0,2400.0,A1008,-73.98185729980467,40.76882553100586
A9,0,1600.0,A1009,-74.00839233398438,40.73404312133789
A10,0,4600.0,A1010,-74.00142669677734,40.731971740722656
A11,0,1940.0,A1011,-74.00303649902342,40.73360443115234
A12,0,2260.0,A1012,-73.96769714355469,40.76700973510742
A13,0,21700.0,A1013,-73.78177642822266,40.64473342895508
A14,0,10900.0,A1014,-73.87076568603516,40.77376174926758
A15,0,600.0,A1015,-73.97772216796875,40.76442337036133
A16,0,5300.0,A1016,-74.00079345703125,40.72750854492188
A17,0,5680.0,A1017,-74.00335693359375,40.733108520507805
A18,0,480.0,A1018,-74.0098114013672,40.73830032348633
A19,0,1020.0,A1019,-74.00679779052734,40.74414825439453
A20,0,5410.0,A1020,-73.9929962158203,40.72795104980469
A21,0,960.0,A1021,-73.97978210449217,40.75276947021485
A22,0,2480.0,A1022,-73.9889144897461,40.73640060424805
A23,0,1000.0,A1023,-73.90196228027342,40.74097442626953
A24,0,1000.0,A1024,-73.98735809326173,40.73604202270508
A25,0,600.0,A1025,-73.98466491699219,40.7574577331543
A26,0,2800.0,A1026,-73.92676544189453,40.701290130615234
A27,0,2800.0,A1027,-73.98959350585938,40.74153137207031
A28,0,1250.0,A1028,-73.97978210449217,40.77607345581056
A29,0,3800.0,A1029,-74.00019073486328,40.732864379882805
A30,0,2730.0,A1030,-73.95800018310547,40.71048355102539
A31,0,650.0,A1031,-73.99003601074217,40.7187385559082
A32,0,10.0,A1032,-73.98604583740233,40.722450256347656
A33,0,2100.0,A1033,-73.99568176269531,40.73913192749024
A34,0,1900.0,A1034,-73.99126434326173,40.74486541748047
A35,0,300.0,A1035,-73.97977447509764,40.75905990600586
A36,0,650.0,A1036,-74.00322723388672,40.72729110717773
A37,0,2300.0,A1037,-73.9871826171875,40.72052383422852
A38,0,1850.0,A1038,-73.94568634033203,40.77790451049805
A39,0,19200.0,A1039,-73.7904052734375,40.64376449584961
A40,0,2900.0,A1040,-73.98118591308595,40.72899627685546
A41,0,2050.0,A1041,-74.00259399414062,40.7338752746582
A42,0,1880.0,A1042,-74.00769805908203,40.74043655395508
A43,0,4010.0,A1043,-73.98916625976561,40.71648025512695
A44,0,1090.0,A1044,-73.9900665283203,40.756649017333984
A45,0,2500.0,A1045,-73.99565887451173,40.74406051635742
A46,0,600.0,A1046,-73.98348999023438,40.76288604736328
A47,0,20200.0,A1047,-73.77679443359375,40.64537048339844
A48,0,2800.0,A1048,-73.98918151855469,40.71646881103516
A49,0,2100.0,A1049,-73.97836303710938,40.77314376831056
A50,0,8970.0,A1050,-73.87306976318358,40.77410125732422
A51,0,7010.0,A1051,-74.01335906982422,40.715126037597656
A52,0,660.0,A1052,-73.98651885986328,40.734256744384766
A53,0,5920.0,A1053,-73.93997192382812,40.83023834228516
A54,0,1380.0,A1054,-73.96437835693358,40.76041030883789
A55,0,1600.0,A1055,-73.98605346679686,40.76269912719727
A56,0,2180.0,A1056,-73.96824645996092,40.755401611328125
A57,0,1700.0,A1057,-73.97388458251953,40.75075912475586
A58,0,2500.0,A1058,-73.9813232421875,40.74372863769531
A59,0,1700.0,A1059,-74.00637054443358,40.73344039916992
A60,0,3150.0,A1060,-73.97647857666014,40.78575134277344
A61,0,2440.0,A1061,-73.99896240234375,40.71644973754882
A62,0,3390.0,A1062,-74.00940704345702,40.710548400878906
A63,0,1270.0,A1063,-73.9865951538086,40.77184677124024
A64,0,870.0,A1064,-73.99283599853516,40.737300872802734
A65,0,3190.0,A1065,-73.98419952392578,40.7458381652832
A66,0,10700.0,A1066,-73.98967742919923,40.7568359375
A67,0,9470.0,A1067,-73.98352813720702,40.744361877441406
A68,0,3700.0,A1068,-73.78174591064453,40.64477157592773
A69,0,2880.0,A1069,-73.99929809570312,40.72819900512695
A70,0,1270.0,A1070,-73.98915100097656,40.758113861083984
A71,0,7900.0,A1071,-73.99014282226561,40.761531829833984
A72,0,800.0,A1072,-73.91792297363281,40.815311431884766
A73,0,4900.0,A1073,-73.96797943115233,40.75678634643555
A74,0,4400.0,A1074,-73.98949432373048,40.720516204833984
A75,0,530.0,A1075,-73.98657989501953,40.75658798217773
A76,0,9820.0,A1076,-73.98641967773438,40.7628288269043
A77,0,17900.0,A1077,-73.78205108642578,40.644657135009766
A78,0,1400.0,A1078,-74.00035095214845,40.71446990966797
A79,0,2300.0,A1079,-73.9864501953125,40.719486236572266
A80,0,11100.0,A1080,-73.97116088867188,40.76088333129882
A81,0,2570.0,A1081,-73.96173095703125,40.77106094360352
A82,0,1510.0,A1082,-73.98135375976561,40.73740005493164
A83,0,300.0,A1083,-73.99744415283203,40.7570915222168
