distance,twoPs
123,A0_A1
234,A0_A2
8760,A0_A3
7781,A0_A4
11639,A0_A5
9951,A0_A6
9238,A0_A7
8919,A0_A8
11849,A0_A9
11381,A0_A10
11442,A0_A11
7733,A0_A12
16026,A0_A13
610,A0_A14
8592,A0_A15
11526,A0_A16
11487,A0_A17
11811,A0_A18
11388,A0_A19
10909,A0_A20
8951,A0_A21
10220,A0_A22
3895,A0_A23
10113,A0_A24
9260,A0_A25
8752,A0_A26
10080,A0_A27
8770,A0_A28
11248,A0_A29
9565,A0_A30
11171,A0_A31
10672,A0_A32
10651,A0_A33
10105,A0_A34
8827,A0_A35
11723,A0_A36
10863,A0_A37
5938,A0_A38
15775,A0_A39
9965,A0_A40
11396,A0_A41
11572,A0_A42
11238,A0_A43
9724,A0_A44
10485,A0_A45
9090,A0_A46
16178,A0_A47
11240,A0_A48
8631,A0_A49
523,A0_A50
13082,A0_A51
10123,A0_A52
8602,A0_A53
7522,A0_A54
9307,A0_A55
7939,A0_A56
8519,A0_A57
9341,A0_A58
11711,A0_A59
8645,A0_A60
11949,A0_A61
13039,A0_A62
9320,A0_A63
10493,A0_A64
9503,A0_A65
9688,A0_A66
9497,A0_A67
16024,A0_A68
11380,A0_A69
9624,A0_A70
9662,A0_A71
6159,A0_A72
7887,A0_A73
11031,A0_A74
9435,A0_A75
9337,A0_A76
16022,A0_A77
12160,A0_A78
10869,A0_A79
8081,A0_A80
7225,A0_A81
9587,A0_A82
10331,A0_A83
7176,A0_A84
8733,A0_A85
11290,A0_A86
11409,A0_A87
9682,A0_A88
9831,A0_A89
9086,A0_A90
10673,A0_A91
7188,A0_A92
6788,A0_A93
8344,A0_A94
10413,A0_A95
8925,A0_A96
10385,A0_A97
10247,A0_A98
10157,A0_A99
9363,A0_A100
0,A1_A1
6845,A1_A2
1410,A1_A3
2561,A1_A4
2598,A1_A5
4220,A1_A6
2589,A1_A7
2769,A1_A8
1890,A1_A9
1682,A1_A10
1609,A1_A11
3151,A1_A12
20877,A1_A13
10636,A1_A14
2444,A1_A15
2102,A1_A16
1669,A1_A17
1735,A1_A18
1319,A1_A19
1896,A1_A20
1295,A1_A21
970,A1_A22
7529,A1_A23
1041,A1_A24
1495,A1_A25
7283,A1_A26
403,A1_A27
3592,A1_A28
1543,A1_A29
4744,A1_A30
2916,A1_A31
2539,A1_A32
750,A1_A33
12,A1_A34
1840,A1_A35
2210,A1_A36
2737,A1_A37
5302,A1_A38
20325,A1_A39
1964,A1_A40
1562,A1_A41
1479,A1_A42
3170,A1_A43
1304,A1_A44
390,A1_A45
2097,A1_A46
21196,A1_A47
3171,A1_A48
3316,A1_A49
10463,A1_A50
3807,A1_A51
1252,A1_A52
10418,A1_A53
2838,A1_A54
2020,A1_A55
2255,A1_A56
1594,A1_A57
841,A1_A58
1810,A1_A59
4703,A1_A60
3236,A1_A61
4122,A1_A62
3016,A1_A63
862,A1_A64
596,A1_A65
1328,A1_A66
648,A1_A67
20877,A1_A68
1984,A1_A69
1474,A1_A70
1846,A1_A71
9963,A1_A72
2356,A1_A73
2721,A1_A74
1351,A1_A75
2028,A1_A76
20862,A1_A77
3476,A1_A78
2859,A1_A79
2446,A1_A80
3819,A1_A81
1179,A1_A82
1450,A1_A83
3689,A1_A84
1483,A1_A85
2777,A1_A86
1341,A1_A87
604,A1_A88
425,A1_A89
1379,A1_A90
610,A1_A91
4946,A1_A92
4084,A1_A93
1910,A1_A94
2292,A1_A95
3918,A1_A96
1199,A1_A97
1354,A1_A98
365,A1_A99
1132,A1_A100
0,A2_A2
5608,A2_A3
4812,A2_A4
8197,A2_A5
6534,A2_A6
6520,A2_A7
6244,A2_A8
8505,A2_A9
8003,A2_A10
8082,A2_A11
5044,A2_A12
16233,A2_A13
4063,A2_A14
5785,A2_A15
8114,A2_A16
8123,A2_A17
8516,A2_A18
8162,A2_A19
7484,A2_A20
5823,A2_A21
6853,A2_A22
1544,A2_A23
6738,A2_A24
6252,A2_A25
5930,A2_A26
6775,A2_A27
6353,A2_A28
7875,A2_A29
6203,A2_A30
7708,A2_A31
7214,A2_A32
7332,A2_A33
6854,A2_A34
5858,A2_A35
8315,A2_A36
7401,A2_A37
4031,A2_A38
15838,A2_A39
6523,A2_A40
8038,A2_A41
8298,A2_A42
7774,A2_A43
6700,A2_A44
7233,A2_A45
6229,A2_A46
16465,A2_A47
7776,A2_A48
6119,A2_A49
3927,A2_A50
9634,A2_A51
6730,A2_A52
8915,A2_A53
4596,A2_A54
6438,A2_A55
4857,A2_A56
5333,A2_A57
6046,A2_A58
8358,A2_A59
6620,A2_A60
8489,A2_A61
9578,A2_A62
6724,A2_A63
7146,A2_A64
6249,A2_A65
6669,A2_A66
6217,A2_A67
16231,A2_A68
7969,A2_A69
6635,A2_A70
6759,A2_A71
6933,A2_A72
4845,A2_A73
7572,A2_A74
6407,A2_A75
6471,A2_A76
16224,A2_A77
8699,A2_A78
7405,A2_A79
5168,A2_A80
4738,A2_A81
6210,A2_A82
7323,A2_A83
4607,A2_A84
5608,A2_A85
7832,A2_A86
8184,A2_A87
6375,A2_A88
6635,A2_A89
5722,A2_A90
7445,A2_A91
5260,A2_A92
4326,A2_A93
5269,A2_A94
6960,A2_A95
6616,A2_A96
7000,A2_A97
6846,A2_A98
6961,A2_A99
6007,A2_A100
0,A3_A3
1161,A3_A4
3767,A3_A5
4525,A3_A6
1907,A3_A7
1920,A3_A8
3295,A3_A9
3014,A3_A10
2981,A3_A11
1859,A3_A12
20334,A3_A13
9287,A3_A14
1391,A3_A15
3364,A3_A16
3038,A3_A17
3137,A3_A18
2639,A3_A19
2979,A3_A20
237,A3_A21
1988,A3_A22
6454,A3_A23
1962,A3_A24
880,A3_A25
7054,A3_A26
1557,A3_A27
2694,A3_A28
2871,A3_A29
4884,A3_A30
3845,A3_A31
3361,A3_A32
2109,A3_A33
1421,A3_A34
823,A3_A35
3508,A3_A36
3591,A3_A37
3923,A3_A38
19815,A3_A39
2571,A3_A40
2933,A3_A41
2869,A3_A42
4068,A3_A43
1204,A3_A44
1784,A3_A45
1329,A3_A46
20635,A3_A47
4069,A3_A48
2362,A3_A49
9110,A3_A50
5101,A3_A51
2115,A3_A52
9255,A3_A53
1434,A3_A54
1411,A3_A55
848,A3_A56
308,A3_A57
975,A3_A58
3203,A3_A59
3762,A3_A60
4350,A3_A61
5341,A3_A62
2352,A3_A63
2092,A3_A64
897,A3_A65
1184,A3_A66
995,A3_A67
20334,A3_A68
3229,A3_A69
1219,A3_A70
1526,A3_A71
8637,A3_A72
947,A3_A73
3643,A3_A74
945,A3_A75
1440,A3_A76
20321,A3_A77
4599,A3_A78
3690,A3_A79
1119,A3_A80
2495,A3_A81
1652,A3_A82
1799,A3_A83
2340,A3_A84
129,A3_A85
3780,A3_A86
2659,A3_A87
1256,A3_A88
1080,A3_A89
1344,A3_A90
1934,A3_A91
3706,A3_A92
2714,A3_A93
513,A3_A94
3056,A3_A95
3071,A3_A96
2240,A3_A97
2264,A3_A98
1403,A3_A99
1378,A3_A100
0,A4_A4
4889,A4_A5
5231,A4_A6
1825,A4_A7
1636,A4_A8
4450,A4_A9
4174,A4_A10
4142,A4_A11
876,A4_A12
20156,A4_A13
8286,A4_A14
1060,A4_A15
4512,A4_A16
4200,A4_A17
4270,A4_A18
3726,A4_A19
4091,A4_A20
1272,A4_A21
3119,A4_A22
5858,A4_A23
3077,A4_A24
1480,A4_A25
7281,A4_A26
2717,A4_A27
2159,A4_A28
4030,A4_A29
5466,A4_A30
4886,A4_A31
4377,A4_A32
3270,A4_A33
2572,A4_A34
1056,A4_A35
4662,A4_A36
4611,A4_A37
2766,A4_A38
19667,A4_A39
3552,A4_A40
4094,A4_A41
3993,A4_A42
5091,A4_A43
1943,A4_A44
2923,A4_A45
1431,A4_A46
20439,A4_A47
5092,A4_A48
1817,A4_A49
8103,A4_A50
6249,A4_A51
3208,A4_A52
8232,A4_A53
279,A4_A54
1633,A4_A55
424,A4_A56
1087,A4_A57
2084,A4_A58
4363,A4_A59
3060,A4_A60
5448,A4_A61
6467,A4_A62
2157,A4_A63
3248,A4_A64
2056,A4_A65
1907,A4_A66
2141,A4_A67
20155,A4_A68
4374,A4_A69
1849,A4_A70
1947,A4_A71
7500,A4_A72
269,A4_A73
4686,A4_A74
1654,A4_A75
1667,A4_A76
20143,A4_A77
5697,A4_A78
4697,A4_A79
383,A4_A80
1404,A4_A81
2694,A4_A82
2554,A4_A83
1221,A4_A84
1078,A4_A85
4850,A4_A86
3745,A4_A87
2396,A4_A88
2197,A4_A89
2275,A4_A90
3046,A4_A91
2674,A4_A92
1566,A4_A93
651,A4_A94
4063,A4_A95
2538,A4_A96
3364,A4_A97
3359,A4_A98
2502,A4_A99
2405,A4_A100
0,A5_A5
2999,A5_A6
5183,A5_A7
5366,A5_A8
1522,A5_A9
1089,A5_A10
1297,A5_A11
5623,A5_A12
20249,A5_A13
12222,A5_A14
5010,A5_A15
593,A5_A16
1251,A5_A17
1993,A5_A18
2511,A5_A19
803,A5_A20
3750,A5_A21
1779,A5_A22
8435,A5_A23
1811,A5_A24
4086,A5_A25
6524,A5_A26
2276,A5_A27
6189,A5_A28
1173,A5_A29
3700,A5_A30
856,A5_A31
1092,A5_A32
1887,A5_A33
2587,A5_A34
4392,A5_A35
654,A5_A36
1017,A5_A37
7638,A5_A38
19641,A5_A39
1674,A5_A40
1317,A5_A41
2140,A5_A42
1056,A5_A43
3887,A5_A44
2430,A5_A45
4693,A5_A46
20600,A5_A47
1055,A5_A48
5910,A5_A49
12069,A5_A50
1452,A5_A51
1691,A5_A52
12986,A5_A53
5140,A5_A54
4617,A5_A55
4497,A5_A56
3802,A5_A57
2806,A5_A58
1380,A5_A59
7301,A5_A60
656,A5_A61
1578,A5_A62
5602,A5_A63
1742,A5_A64
2894,A5_A65
3914,A5_A66
2773,A5_A67
20249,A5_A68
651,A5_A69
4062,A5_A70
4420,A5_A71
12389,A5_A72
4636,A5_A73
827,A5_A74
3948,A5_A75
4624,A5_A76
20231,A5_A77
