,DeviceId,ArrivalTime,DepartureTime,duration*60,Area
0,17281,1486512540,1486513834,3600,Docklands
1,20236,1486512541,1486531622,14400,Queensberry
2,20462,1486512547,1486512817,1800,Queensberry
3,17442,1486512551,1486514008,300,Docklands
4,21777,1486512559,1486513381,1800,Southbank
5,21575,1486512562,1486516988,7200,Southbank
6,17425,1486512565,1486513178,900,Docklands
7,20404,1486512565,1486526734,14400,Queensberry
8,21424,1486512571,1486516616,3600,Southbank
9,20573,1486512574,1486545872,14400,Queensberry
10,17575,1486512576,1486513247,7200,Docklands
11,17689,1486512577,1486518253,1800,Docklands
12,17418,1486512578,1486513346,900,Docklands
13,21370,1486512580,1486512663,600,Southbank
14,17386,1486512581,1486517944,7200,Docklands
15,20579,1486512582,1486512707,7200,Queensberry
16,20360,1486512591,1486516978,3600,Queensberry
17,21585,1486512593,1486516351,7200,Southbank
18,17559,1486512594,1486515670,7200,Docklands
19,20547,1486512594,1486512704,7200,Queensberry
20,21724,1486512595,1486512828,3600,Southbank
21,21722,1486512596,1486512827,3600,Southbank
22,21621,1486512597,1486514927,7200,Southbank
23,17366,1486512598,1486514564,1800,Docklands
24,17762,1486513143,1486513702,7200,Docklands
25,17307,1486513144,1486519835,7200,Docklands
26,21362,1486513147,1486517523,3600,Southbank
27,21729,1486513148,1486527185,3600,Southbank
28,17702,1486513149,1486513935,900,Docklands
29,20003,1486513152,1486513245,10800,Queensberry
30,17482,1486513159,1486515149,7200,Docklands
31,21677,1486513163,1486515732,900,Southbank
32,17401,1486513164,1486513218,1800,Docklands
33,17405,1486513165,1486517804,7200,Docklands
34,21735,1486513166,1486515596,3600,Southbank
35,17217,1486513168,1486513253,300,Docklands
36,17425,1486513178,1486513526,900,Docklands
37,17406,1486513179,1486513469,300,Docklands
38,17445,1486513180,1486513579,300,Docklands
39,17636,1486513182,1486515641,1800,Docklands
40,17423,1486513193,1486514175,900,Docklands
41,17373,1486513198,1486515382,7200,Docklands
42,17259,1486513740,1486513971,3600,Docklands
43,21368,1486513742,1486514091,600,Southbank
44,17616,1486513743,1486515556,7200,Docklands
45,17543,1486513747,1486514044,7200,Docklands
46,17279,1486513747,1486522989,14400,Docklands
47,17217,1486513747,1486516958,300,Docklands
48,17571,1486513749,1486517811,7200,Docklands
49,20186,1486513751,1486528205,14400,Queensberry
50,20291,1486513761,1486513897,14400,Queensberry
51,21722,1486513762,1486517327,3600,Southbank
52,17332,1486513770,1486514701,900,Docklands
53,17575,1486513778,1486513999,7200,Docklands
54,20545,1486513780,1486513890,7200,Queensberry
55,17292,1486513782,1486516195,900,Docklands
56,17536,1486513786,1486513856,7200,Docklands
57,17724,1486513787,1486514420,600,Docklands
58,20073,1486513789,1486527628,14400,Queensberry
59,17605,1486513792,1486514084,3600,Docklands
60,17295,1486513792,1486514307,900,Docklands
61,19932,1486513793,1486524790,14400,Queensberry
62,21370,1486513799,1486514735,600,Southbank
63,17374,1486514346,1486518061,1800,Docklands
64,17425,1486514346,1486515218,900,Docklands
65,21770,1486514355,1486515856,7200,Southbank
66,21699,1486514367,1486518011,10800,Southbank
67,21607,1486514373,1486521019,7200,Southbank
68,17291,1486514378,1486515334,7200,Docklands
69,17288,1486514383,1486514821,3600,Docklands
70,17302,1486514390,1486515684,900,Docklands
71,17295,1486514391,1486515033,900,Docklands
72,20378,1486514392,1486514458,900,Queensberry
73,17579,1486514393,1486519236,7200,Docklands
74,17661,1486514397,1486514828,10800,Docklands
75,21885,1486514397,1486515108,7200,Southbank
76,17412,1486514399,1486514411,900,Docklands
77,17443,1486514940,1486516328,300,Docklands
78,20013,1486514941,1486524012,10800,Queensberry
79,17189,1486514943,1486515017,3600,Docklands
80,17784,1486514945,1486515100,7200,Docklands
81,17607,1486514956,1486516074,7200,Docklands
82,17468,1486514964,1486529345,7200,Docklands
83,17288,1486514966,1486515110,3600,Docklands
84,21636,1486514968,1486517712,7200,Southbank
85,17419,1486514970,1486517432,900,Docklands
86,17764,1486514975,1486520818,7200,Docklands
87,21426,1486514985,1486516636,3600,Southbank
88,17418,1486514988,1486515000,900,Docklands
89,17219,1486514993,1486517764,7200,Docklands
90,20564,1486514997,1486521277,7200,Queensberry
91,17295,1486515540,1486515836,900,Docklands
92,21602,1486515541,1486521299,7200,Southbank
93,17171,1486515542,1486515996,600,Docklands
94,17231,1486515542,1486519123,7200,Docklands
95,20563,1486515544,1486517673,3600,Queensberry
96,17172,1486515545,1486515996,600,Docklands
97,17506,1486515550,1486516530,7200,Docklands
98,17348,1486515553,1486517290,300,Docklands
99,17406,1486515555,1486515637,300,Docklands
100,17339,1486515555,1486516779,7200,Docklands
101,17616,1486515556,1486523561,7200,Docklands
102,17336,1486515557,1486515809,300,Docklands
103,21777,1486515557,1486515962,1800,Southbank
104,17442,1486515559,1486516756,300,Docklands
105,20371,1486515563,1486515818,7200,Queensberry
106,21601,1486515565,1486516001,7200,Southbank
107,17685,1486515568,1486516611,1800,Docklands
108,17228,1486515571,1486515642,7200,Docklands
109,17738,1486515573,1486515632,7200,Docklands
110,21600,1486515577,1486517440,7200,Southbank
111,17445,1486515581,1486516766,300,Docklands
112,21369,1486515581,1486515745,600,Southbank
113,17451,1486515583,1486516545,7200,Docklands
114,17305,1486515585,1486516721,900,Docklands
115,17463,1486515587,1486515879,7200,Docklands
116,17459,1486515587,1486521011,7200,Docklands
117,17329,1486515587,1486515887,900,Docklands
118,17366,1486515593,1486515994,1800,Docklands
119,21574,1486515595,1486520572,7200,Southbank
120,21735,1486515596,1486515700,3600,Southbank
121,21488,1486515596,1486529227,10800,Southbank
122,20462,1486515597,1486515974,1800,Queensberry
123,20000,1486515598,1486520036,10800,Queensberry
124,20009,1486516141,1486516336,10800,Queensberry
125,17310,1486516142,1486521472,7200,Docklands
126,21796,1486516142,1486517845,7200,Southbank
127,20554,1486516153,1486517725,7200,Queensberry
128,17729,1486516157,1486547611,7200,Docklands
129,17465,1486516162,1486535364,7200,Docklands
130,21353,1486516162,1486516472,7200,Southbank
131,20371,1486516162,1486516284,7200,Queensberry
132,17460,1486516164,1486517645,900,Docklands
133,17575,1486516166,1486516243,7200,Docklands
134,17618,1486516175,1486518492,7200,Docklands
135,17302,1486516176,1486516862,900,Docklands
136,17351,1486516176,1486516891,7200,Docklands
137,17546,1486516188,1486521960,7200,Docklands
138,21506,1486516188,1486519735,10800,Southbank
139,17418,1486516189,1486516222,900,Docklands
140,21804,1486516189,1486519855,7200,Southbank
141,17627,1486516190,1486519241,7200,Docklands
142,17434,1486516194,1486516620,600,Docklands
143,17292,1486516195,1486516520,900,Docklands
144,21691,1486516196,1486516446,10800,Southbank
145,19938,1486516196,1486530365,14400,Queensberry
146,21613,1486516199,1486516833,7200,Southbank
147,17609,1486516740,1486517879,7200,Docklands
148,17428,1486516740,1486532518,7200,Docklands
149,17359,1486516742,1486516764,1800,Docklands
150,20124,1486516742,1486521143,7200,Queensberry
151,21886,1486516748,1486517002,7200,Southbank
152,17607,1486516749,1486523082,7200,Docklands
153,20147,1486516751,1486537924,14400,Queensberry
154,21622,1486516755,1486517035,7200,Southbank
155,17442,1486516756,1486517743,300,Docklands
156,17361,1486516761,1486516768,1800,Docklands
157,17359,1486516764,1486517572,1800,Docklands
158,21368,1486516765,1486517270,600,Southbank
159,17589,1486516766,1486517282,7200,Docklands
160,17445,1486516766,1486517641,300,Docklands
161,17361,1486516768,1486517571,1800,Docklands
162,17245,1486516770,1486517498,3600,Docklands
163,20230,1486516770,1486519037,14400,Queensberry
164,20266,1486516772,1486521632,7200,Queensberry
165,17591,1486516774,1486518972,7200,Docklands
166,17339,1486516779,1486521699,7200,Docklands
167,17592,1486516795,1486520511,7200,Docklands
168,21541,1486516795,1486528537,10800,Southbank
169,21382,1486516799,1486542609,10800,Southbank
170,17303,1486517341,1486517408,900,Docklands
171,20265,1486517345,1486521617,7200,Queensberry
172,17332,1486517347,1486517395,900,Docklands
173,17186,1486517349,1486519427,7200,Docklands
174,17336,1486517349,1486517797,300,Docklands
175,17331,1486517353,1486518191,7200,Docklands
176,17681,1486517355,1486518222,900,Docklands
177,17176,1486517356,1486518093,7200,Docklands
178,17365,1486517357,1486518260,900,Docklands
179,21612,1486517358,1486519849,7200,Southbank
180,21420,1486517360,1486521254,3600,Southbank
181,17632,1486517367,1486519108,7200,Docklands
182,20579,1486517369,1486517489,7200,Queensberry
183,17783,1486517373,1486518135,7200,Docklands
184,17287,1486517377,1486517674,7200,Docklands
185,20126,1486517377,1486531047,14400,Queensberry
186,17752,1486517378,1486519748,7200,Docklands
187,20134,1486517380,1486548097,14400,Queensberry
188,21683,1486517381,1486529915,10800,Southbank
189,21531,1486517384,1486519635,10800,Southbank
190,17774,1486517385,1486517391,7200,Docklands
191,21608,1486517386,1486524899,7200,Southbank
192,17545,1486517388,1486517434,7200,Docklands
193,17226,1486517388,1486517409,7200,Docklands
194,17187,1486517389,1486517464,3600,Docklands
195,17578,1486517389,1486523892,3600,Docklands
196,17406,1486517390,1486522155,300,Docklands
197,17774,1486517391,1486519068,7200,Docklands
198,17731,1486517393,1486517445,7200,Docklands
199,17332,1486517395,1486517456,900,Docklands
200,20578,1486517395,1486517534,900,Queensberry
201,17740,1486517397,1486517823,7200,Docklands
202,21369,1486517941,1486518249,600,Southbank
203,17386,1486517944,1486521836,7200,Docklands
204,21535,1486517944,1486529617,10800,Southbank
205,17757,1486517946,1486520742,7200,Docklands
206,20137,1486517946,1486519259,14400,Queensberry
207,17295,1486517949,1486519644,900,Docklands
208,21494,1486517950,1486535577,10800,Southbank
209,21496,1486517952,1486525217,10800,Southbank
210,19996,1486517955,1486524275,10800,Queensberry
211,19945,1486517957,1486529138,14400,Queensberry
212,17640,1486517958,1486521829,7200,Docklands
213,17520,1486517962,1486518073,7200,Docklands
214,17553,1486517962,1486519066,7200,Docklands
215,17290,1486517966,1486518253,900,Docklands
216,17394,1486517968,1486518038,7200,Docklands
217,17269,1486517974,1486518220,900,Docklands
218,17540,1486517974,1486520480,7200,Docklands
219,17170,1486517976,1486518946,600,Docklands
220,17171,1486517977,1486518952,600,Docklands
221,17726,1486517993,1486522762,600,Docklands
222,17353,1486517999,1486518451,7200,Docklands
223,21362,1486517999,1486521102,3600,Southbank
